Date,High,Low
20130101,62,39
20130102,62,44
20130103,62,42
20130104,57,45
20130105,54,44
20130106,55,36
20130107,62,45
20130108,66,48
20130109,63,39
20130110,57,37
20130111,50,37
20130112,48,35
20130113,48,30
20130114,48,28
20130115,53,28
20130116,50,30
20130117,57,37
20130118,61,33
20130119,55,35
20130120,61,35
20130121,64,43
20130122,61,36
20130123,57,35
20130124,60,35
20130125,55,39
20130126,54,44
20130127,57,48
20130128,59,45
20130129,63,45
20130130,59,41
20130131,55,48
20130201,53,46
20130202,55,44
20130203,59,37
20130204,66,39
20130205,64,43
20130206,61,46
20130207,61,51
20130208,60,51
20130209,61,55
20130210,62,55
20130211,61,46
20130212,59,43
20130213,57,46
20130214,61,39
20130215,64,44
20130216,71,46
20130217,73,51
20130218,60,46
20130219,63,44
20130220,57,45
20130221,59,48
20130222,55,44
20130223,55,42
20130224,57,39
20130225,55,48
20130226,57,44
20130227,53,39
20130228,53,37
20130301,54,37
20130302,61,39
20130303,66,43
20130304,70,48
20130305,68,53
20130306,69,46
20130307,62,51
20130308,61,46
20130309,60,45
20130310,68,46
20130311,79,48
20130312,80,52
20130313,73,53
20130314,64,48
20130315,78,46
20130316,78,50
20130317,62,51
20130318,66,46
20130319,64,48
20130320,60,48
20130321,66,46
20130322,73,43
20130323,78,48
20130324,68,48
20130325,64,53
20130326,66,48
20130327,57,46
20130328,66,42
20130329,73,42
20130330,72,46
20130331,69,46
20130401,64,46
20130402,69,46
20130403,71,46
20130404,69,50
20130405,71,52
20130406,64,52
20130407,68,51
20130408,71,51
20130409,66,50
20130410,72,46
20130411,63,50
20130412,64,46
20130413,70,44
20130414,57,51
20130415,68,46
20130416,75,46
20130417,62,48
20130418,61,45
20130419,57,42
20130420,64,46
20130421,61,43
20130422,63,48
20130423,70,44
20130424,66,46
20130425,66,48
20130426,69,48
20130427,82,50
20130428,81,55
20130429,70,53
20130430,77,51
20130501,70,48
20130502,66,52
20130503,63,48
20130504,64,51
20130505,73,46
20130506,88,54
20130507,91,57
20130508,84,60
20130509,73,55
20130510,57,52
20130511,64,51
20130512,64,50
20130513,72,46
20130514,66,50
20130515,63,51
20130516,70,48
20130517,68,50
20130518,73,50
20130519,70,52
20130520,73,51
20130521,78,54
20130522,81,51
20130523,86,55
20130524,78,55
20130525,69,54
20130526,69,55
20130527,69,54
20130528,73,52
20130529,69,53
20130530,66,55
20130531,64,54
20130601,66,54
20130602,64,54
20130603,70,55
20130604,73,59
20130605,68,55
20130606,70,53
20130607,75,51
20130608,70,50
20130609,75,53
20130610,75,55
20130611,75,53
